Page;Review Later;Office;date_source_text;date_start;date_start_uncertain;date_end;date_end_uncertain;Praenomen;Nomen;Filiation;Tribe;RE;Cognomen;Notes
487;;Senator;129;-129;;-129;;L;Afinius;L. f.;Lem;not in RE;;Senator in 129 (S. C. de Agro Pergameno** Passerini, Athenaeum 15 [1937] 252-283). See Passerini's article in connection with all later references to the S. C. de Agro Pergameno.
487;;Senator;129;-129;;-129;;L;Afinius;L. f.;Ouf;not in RE;;Senator in 129 (S. C. de Agro Pergameno).
487;;Senator;129;-129;;-129;;P;Albius;P. f.;Quir;not in RE;;Senator in 129 (S. C. de Agro Pergameno).
487;;Senator;135;-135;;-135;;C;Annius;C. f.;Cam;not in RE;;Senator in 135 (SIG(3) 688).
487;;Senator;129;-129;;-129;;C;Annius;C. f.;Arn;not in RE;;Senator in 129 (S. C. de Agro Pergameno).
487;;Senator;135;-135;;-135;;L;Annius;L. f.;Poll;not in RE;;Senator in 135 (SIG(3) 688).
487;;Senator;129;-129;;-129;;L;Anthestius (Antistius);C. f.;Men;not in RE;;Senator in 129 B. C. (S. C. de Agro Pergameno).
487;;Senator;66;-66;;-66;;T;Annius;;;21;;Senator in 66 (Cic. Cluent. 182, cf. 78).
487;;Senator;63;-63;;-63;;Q;Annius;;;18;;Senator in 63. One of the Catilinarian conspirators (Sall. Cat. 17.3** 50.4).
487;;Senator;70;-70;;-70;;-;Annaeus;;;3;Brocchus;Senator in 70 (Cic. Verr. 2.3.93).
487;;Senator?;before 60;-61;1;-61;;C;Albinius;;;1;;Cic. Sest. 6** Fam. 13.8. Father-in-law of P. Sestius, so probably a senator for some time before 60.
487;;Senator;44;-44;;-44;;C;Anicius;;;1;;Senator in 44 (Cic. Fam. 12.21** cf. 7.26.2, 57 B. C.** QF 2.8.3, 55 B. C.).
488;;Senator;73-71 ;-73;;-71;;-;Calidius;Cn. f. ;;cf. 2;;Senator in 73-71 (Cic. Verr. 2.4.42).
488;;Senator;129;-129;;-129;;L;Anthestius (Antistius);;Sab;not in RE;;Senator in 129 B. C. (S. C. de Agro Pergameno).
488;;Senator;44;-44;;-44;;L;Ap(p)uleius;L. f.;Serg;not in RE;;Senator, perhaps an aedilicius, in 44 (Joseph. AJ 14.220).
488;;Senator;129;-129;;-129;;M;Appuleius;M. f.;Cam;not in RE;;Senator in 129 B. C. (S. C. de Agro Pergameno).
488;;Senator;74;-74;;-74;;M';Aquillius;;;not in RE;;Senator in 74, a juror in the trial of Oppianicus (Cic. Cluent. 127).
488;;Senator;129;-129;;-129;;Cn;Auf[idius];;Vel;not in RE;;Senator in 129 (S. C. de Agro Pergameno).
488;;Senator;129;-129;;-129;;C;Caelius;C. f.;Aem;not in RE;;Senator in 129 (S. C. de Agro Pergameno).
488;;Senator;44;-44;;-44;;-;Caecilius;;;Bucilianus 1;Bucilianus;App. BC 2.113.
488;;Senator;before 74;-75;1;-75;;-;Attidius;;;Atidius 2;;A former Roman senator, an exile with Mithridates, who conspired against the king (App. Mith. 90).
488;y;Senator;129;-129;;-129;;Q;Caecilius;Q. f.;Ani;?;;Senator in 129 (S. C. de Agro Pergameno). Perhaps Q. Caecilius Metellus Macedonicus (94), Cos. 143.
488;;Senator;81;-81;;-81;;C;Caecilius;;;71;Metellus;A young senator in 81 (Plut. Sull. 3 1. 1).
488;;Senator;74;-74;;-74;;M;Atilius;;;34;Bulbus;Senator in 74, a juror in the trial of Oppianicus, who was convicted of maiestas before 70 (Cic. Cluent. 71-73, and esp. 97** Verr. 1.37-40).
488;;Senator;54;-54;;-54;;Cn;(Appuleius);L. f. ;;27;Saturninus;Probably a senator in 54 (Cic. Planc. 19 and 29).
488;;Senator;39;-39;;-39;;P;Attius;P. f.;Quir;6;;Senator in 39 (S. C. de Panamareis** Viereck 41, no. 20).
488;;Senator;43;-43;;-43;;-;Asinius;;;1;;A senator voluntarius in 43 (Cic. Phil. 13.28).
488;;Senator;39;-39;;-39;;T;Atinius;T. f.;Fab;1;Tyrannus;Senator in 39 (5. C. de Panamareis** Viereck 41, no. 20).
489;;Senator;129;-129;;-129;;C;Coelius;C. f.;Arn;cf. 6, Supb. 3.255;;A senator in 129 (S. C. de Agro Pergameno).
489;;Senator;after 166;-165;;-165;1;TI;Claudius;Ti. f.;Clu.;cf. 250, cf. 251, 252;Nero?;A senator soon after 166 (SIG(3) 664-I. de Delos 4.1.1510).
489;;Senator;129;-129;;-129;;Sp;Carvilius;L. f.;Sab;not in RE;;Senator in 129 (S. C. de Agro Pergameno).
489;;Senator;74;-74;;-74;;L;Caulius;;;not in RE;Mergus;Senator in 74, a juror in the trial of Oppianicus (Cic. Cluent. 104).
489;;Senator;71;-71;;-71;;C;Claudius;;;20a, Supb. 3;;A senator in 71 (Cic. Tull. 14).
489;y;Senator;74;-74;;-74;;C;Caudinus;;;?;;"Senator in 74, juror in the trial of Oppianicus (Cic. Cluent. 107). The full name may have been C. Cornelius Lentulus Caudinus. See RE, s. v. ""Cornelius,"" nos. 210-214."
489;;Senator;63;-63;;-63;;P;Cornelius;;;385;Sulla;Senator in 63, a member of the Catilinarian conspiracy (Sall. Cat. 17.3** cf. Cic. Sull. 6** Dio 36.44.3, where he is confused with the P. Sulla whom Cicero defended).
489;;Senator;63;-63;;-63;;C;Cornelius;;;89;Cethegus;Senator in 63 (Sall. Cat. 17.3), and a leader among the Catilinarian conspirators.
489;;Senator;63;-63;;-63;;-;Cornelius;;;84;Cethegus;A brother of the Catilinarian conspirator (see below). Voted in the Senate in 63 to condemn his brother to death (Ampelius 31).
489;;Senator;129;-129;;-129;;Q;Claudius;Ap f.;Poll;30;;A senator in 129 (S. C. de Agro Pergameno).
489;;Senator;129;-129;;-129;;C;Cornelius;M. f.;Stell;17;;Senator in 129 (S. C. de Agro Pergameno).
489;;Senator;74;-74;;-74;;Q;Considius;;;7;;Senator in 74, at the trial of Oppianicus (Cic. Cluent. 107).
489;;Senator;39;-39;;-39;;Q;Cloelius;M. f.;Quir;4;;Senator in 39 (S. C. de Panamareis** Viereck 41, no. 20).
489;y;Senator;ca 134?;-134;1;-134;1;L;Coponius;L. f.;Coll;4;;"Senator ca. 134? (Joseph. AJ 14.145** see 134, note 2** and RE s. v. ""Valerius,"" no. 60)."
489;;Senator;46-44;-46;;-44;;Q;Calpenus;;;1;;Senator quondam, who fought as a gladiator in Caesar's games (Suet. Jul. 39).
490;;Senator;129;-129;;-129;;C;Didius;C. f.;Quir;not in RE;;Senator in 129 (S. C. de Agro Pergameno).
490;;Senator;129;-129;;-129;;L;Domitius;Cn. f.;Pup;not in RE;;Senator in 129 (S. C. de Agro Pergameno). Identified by Cichorius with L. Domitius Ahenobarbus, Cos. 94 (Untersuch. Lucil. 3f.** followed by Magie, Roman Rule in Asia Minor 2.1055, note 25), but as the S. C. de Agro Pergameno should probably be dated in 129 Domitius is more probably a member of the previous generation (see above, 133, note 1).
490;;Senator;ca 165;-165;1;-165;1;Cn;Egnatius;C. f.;Stell;not in RE;;Senator ca. 165 (Holleaux, BCH 48 [1924] 381-398-SEG 3.451** see 165, Praetors, on Blasio).
490;;Senator;129;-129;;-129;;M;Cosconius;M. f.;Ter;9, cf. 8;;Senator in 129 (S. C. de Agro Pergameno). Perhaps the Praetor of 135.
490;;Senator;74;-74;;-74;;C;Egnatius;Cn. f. Cn. n.;;27, cf. 2;Maximus;Senator in 74, a juror in the trial of Oppianicus who was disinherited by his father for accepting bribes (Cic. Cluent. 135).
490;;Senator;63;-63;;-63;;Ser;Cornelius;;;389;Sulla;Senator in 63, a member of the Catilinarian conspiracy (Sall. Cat. 17.3** Cic. Sull. 6).
490;;Senator;63;-63;;-63;;Q;Fabius;;;143;Sanga;Senator in 63, who dealt with the Allobrogian envoys and aided in the capture of the conspirators (Cic. Pis. 77** Sall. Cat. 41).
490;;Senator;before 70;-71;1;-71;;Cn;Egnatius;Cn. f. ;;8;;Senator, father of C. Egnatius (above), expelled from the Senate by the Censors of 70 (Cic. Cluent. 135).
490;;Senator;52;-52;;-52;;L;Cornificius;;;4;;Senator in 52, one of the accusers of Milo (Ascon. 38, and 54 C).
490;;Senator;44;-44;;-44;;L;Erucius;L. f.;Stell;3;;Senator in 44 (Joseph. AJ 14.220).
490;;Senator;51;-51;;-51;;M;Eppius;;;2;;Senator in 51 (Cic. Fam. 8.8.5). See 51, note.
490;;Senator;78;-78;;-78;;L;Faberius;L. f.;Serg;2;;Senator in 78 (S. C. de Asclepiade, CIL 1(2).2.588).
490;;Senator;before 43;-44;1;-44;;-;Decius;;;1;;A senator proscribed in 43 (App. BC 4.27).
491;;Senator;70;-70;;-70;;C;Gallus;;;cf. C. Gallius, RE 3;;Senator in 70 (Cic. Verr. 2.3.152).
491;;Senator;63;-63;;-63;;A;Fulvius;;;cf. 94;;Senator in 63, who put his son to death for following Catiline (Sall. Cat. 39** Val. Max. 5.8.5** Dio 37.36, who calls the son Aulus). See RE, on M. Fulvius Nobilior, no. 94.
491;;Senator;44;-44;;-44;;-;Flavius;L. f.;Lem;cf. 17;;Senator in 44 (Joseph. AJ 14.220). Perhaps L. Flavius, Tr. P1. 60, Pr. 58.
491;;Senator;129;-129;;-129;;L;Genucius;L. f.;Ter;not in RE;;Senator in 129 (S. C. de Agro Pergameno).
491;;Senator;129;-129;;-129;;P;Gessius;P. f.;Arn;not in RE;;Senator in 129 (S. C. de Agro Pergameno).
491;;Senator;after 166;-165;;-165;1;M';Fonteius;C. f.;;7a, Supb. 3.528;;Senator soon after 166 (SIG(3) 664-I. de Delos 4.1.1510).
491;;Senator;81;-81;;-81;;C;Fannius;C. f. ;;8;;Senator in 81 (S. C. de Stratonicensibus** OGIS 441, lines 20f.).
491;;Senator;44;-44;;-44;;M;Gellius;M. f.;Maec;7;;Senator in 44 (Joseph. AJ 14.220** cf. Plut. Cic. 27.2** Macrob. Sat. 2.3.10-11).
491;;Senator;129;-129;;-129;;M;Falerius;M. f.;Claud;1;;Senator in 129 (S. C. de Agro Pergameno).
491;;Senator;74;-74;;-74;;C;Fidiculanius;;;1;Falcula;Senator in 74, a juror in the trial of Oppianicus (Cic. Caec. 28** Cluent. 103-104 and 112-114).
491;;Senator;129;-129;;-129;;L;Filius;L. f.;Hor;1;;Senator in 129 (S. C. de Agro Pergameno).
491;;Senator;ca 161;-161;1;-161;1;-;(Fo)nteius;Q. f.;Pap;1;;Senator ca. 161 (SIG(3) 679 II** see 161, Praetors, on Aemilius).
491;;Senator;81;-81;;-81;;C;Fundanius;C. f. ;;1;;Senator in 81 (S. C. de Stratonicensibus** OGIS 441, lines 20f.). See also Quaestors of uncertain date.
491;;Senator;74;-74;;-74;;TI;Gutta;;;1;;Senator in 74, a juror in the case of Oppianicus who accepted bribes (Cic. Cluent. 71, 75, 78, 98, 103, 127** cf. Schol. Pers. 2.19), and in 70 was expelled from the Senate (Cic. Cluent. 127 and 130).
492;;Senator;129;-129;;-129;;Q;Laberius;L. f.;Maec;not in RE;;Senator in 129 (S. C. de Agro Pergameno).
492;;Senator;129;-129;;-129;;M;Lollius;Q. f.;Men;not in RE;;Senator in 129 (S. C. de Agro Pergameno).
492;;Senator;129;-129;;-129;;C;Herennius;Q. f.;Ouf;cf. 5;;Senator in 129 (S. C. de Agro Pergameno).
492;;Senator;ca 140;-140;1;-140;1;Cn;Lutatius;Cn. f. A(-);;1, 12;(Cerco?);Senator ca. 140 (SIG(3) 674).
492;;Senator;129;-129;;-129;;L;Iulius;Sex. f.;Fal.;141;Caesar;Senator in 129 (S. C. de Agro Pergameno). See above, on Monetales.
492;;Senator;49;-49;;-49;;-;Licinius;;;65;(Crassus) Damasippus;A senator, who was with Juba in Africa in 49 (Caes. BC 2.44) and was killed there in 46 (Bell. Afr. 96). On the name, see CIL 1(2).2.1344.
492;y;Senator;88-78?;-88;;-78;;-;Licinius;;;39;Bucco;A senator, perhaps of the Sullan period (Val. Max. 8.3.2).
492;;Senator;70;-70;;-70;;Q;Iunius;;;30;;Senator in 70 (Cic. Verr. 2.1.18).
492;;Senator;74;-74;;-74;;M;Iuventius;;;18;Pedo;Senator in 74, a juror in the trial of Oppianicus (Cic. Cluent. 107).
492;;Senator;129;-129;;-129;;C;Lictnius;C. f.;Ter;14;;Senator in 129 (S. C. de Agro Pergameno).
492;;Senator;129;-129;;-129;;M';Lucilius;M. f.;Pompt;11;;Senator in 129 (S. C. de Agro Pergameno).
492;;Senator;70;-70;;-70;;M;Lucretius;;;9;;Senator and possible juror in 70 (Cic. Verr. 2.1.18).
492;;Senator;ca 126;-126;1;-126;1;L;Mallius;L. f.;Men;6;Manlius?;Senator ca. 126 (Joseph. AJ 13.260** see 126, Praetors, note 2, on Fannius).
492;;Senator;39;-39;;-39;;C;Hedius;C. f.;;3;Thorus;Senator in 39 (S. C. de Panamareis, Viereck 41, no. 20** and S. C. de Aphrodisiensibus, Viereck 40, no. 19, and Add. VII).
492;;Senator;74;-74;;-74;;Cn;Heius;;;3;;Senator in 74, a juror in the trial of Oppianicus (Cic. Cluent. 107).
492;;Senator;76;-76;;-76;;C;Luscius;;;2;Ocrea;An aged senator in 76 (Cic. Rosc. Cor. 43).
492;;Senator;ca 67;-67;1;-67;1;Q;Lucienus;;;1;;Senator, probably ca. 67 (Varro RR 2.5.1).
493;;Senator;before 43;-44;1;-44;;-;Nonius;;;cf. 50;;A senator, proscribed in 43 (Plin. NH 37.81). Probably a son of Nonius Struma.
493;;Senator;129;-129;;-129;;C;Nautius;Q. f.;Vet;Nutius 1;;Senator in 129 (S. C. de Agro Pergameno** Noutios in the Adrammyttene fragment, and Nautios in the Smyrna one).
493;;Senator;129;-129;;-129;;M;Munius;M. f.;Lem;not in RE;;Senator in 129 (S. C. de Agro Pergameno).
493;y;Senator;43;-43;;-43;;-;Octavius;;;34?;;A senator in 43 (Cic. Phil. 11.4). Perhaps M. Octavius (RE no. 34).
493;;Senator;by 78;-78;1;-78;;T;Manlius;T. f.;;85;Torquatus;A senator of Cicero's generation (Cic. Brut. 245), who is probably to be identified with the man who was honored at Delos (BCH 3 [1879] 156f.** 36 [1912] 107) between 84 and 78, and perhaps attained the praetorship.
493;;Senator;75;-75;;-75;;M;Octavius;;;69;Ligus;A senator in 75 (Cic. Verr. 2.2.21, cf. 2.1.26).
493;;Senator;74;-74;;-74;;P;Octavius;;;46;Balbus;Senator in 74, a juror in the trial of Oppianicus (Cic. Cluent. 107).
493;;Senator;129;-129;;-129;;Cn;Octavius;L. f.;Aem;19;;Senator in 129 (S. C. de Agro Pergameno).
493;;Senator;129;-129;;-129;;L;Memmius;C. f.;Men;11;;Senator in 129 (S. C. de Agro Pergameno). Probably to be identified with the Legate who visited Egypt ca. 112.
493;y;Senator;ca 161?;-161;1;-161;1;T;Mallius;;Fab. ;10;;Senator, perhaps ca. 161 (SIG(3) 679 II** see 161, Praetors, on Aemilius).
493;;Senator;76;-76;;-76;;T;Manilius;;;10;;A aged senator in 76 (Cic. Rose. Corn. 43-49).
493;;Senator;184;-184;;-184;;-;Manilius;;;2;;A prominent senator in 184 (Plut. Cat. Mai. 17.7). Miinzer suggests that he was P. Manlius (RE, no. 31) who held the praetorship in 195 and 182.
493;;Senator;129;-129;;-129;;C;Nemetorius (Numitorius);C. f.;Lem;1;;Senator in 129 (S. C. de Agro Pergameno).
494;;Senator;ca 165;-165;1;-165;1;T;Ofidius (Aufidius?);;Pop;not in RE;;Senator ca. 165 (Holleaux, BCH 48 [1924] 381-398-SEG 3.451). See 165, Praetors, on Cornelius Blasio.
494;y;Senator;129;-129;;-129;;Cn;Pompeius;Cn. f.;Crust;6?;;Senator in 129 (S. C. de Agro Pergameno). In D.-G. 4.323, note 12, it is suggested that this Pompeius was a cousin of the Consul of 89, but if the S. C. de Agro Pergameno is correctly dated in 129 B. C., he was more probably an uncle.
494;;Senator;129;-129;;-129;;P;Popillius;P. f.;Ter;29;;Senator in 129 (S. C. de Agro Pergameno).
494;y;Senator;by 70;-70;1;-70;;P;Popillius;;;10?;;A senator who was a freedman's son and was excluded from the Senate in 70, but kept his insignia (Cic. Cluent. 131-132, cf. 98).
494;;Senator;before 70;-71;1;-71;;C;Popillius;;;3;;A senator who was condemned before 70 for peculatus (Cic. Verr. 1.39).
494;y;Senator;;;;;;M;Popillius;;;7 cf. 23;;Senator of uncertain date (Val. Max. 7.8.9).
494;;Senator;57;-57;;-57;;Cn;Oppius;;;28;Cornicinus;Senator in 57 (Cic. Att. 4.2.4** Post Red. ad Quir. 12). Probably an older man, as his son-in-law held the tribunate in that year.
494;y;Senator;ca 100?;-100;1;-100;1;C;Plautius;;;25;Numida;A senator, perhaps ca. 100 B. C. (Val. Max. 4.6.2).
494;;Senator;46;-46;;-46;;-;Plaetorius;;;19;Rustianus;A leader among the Pompeians in Africa who died at Hippo (Bell. Afr. 96). On the possible cognomen Cestianus, see RE nos. 15 and 16.
494;;Senator;44;-44;;-44;;P;Plautius;P. f.;Pap;16;;Senator in 44 (Joseph. AJ 14.220). Perhaps P. Plautius Hypsaeus, (23), Pr. 55.
494;;Senator;by 82;-82;1;-82;;M;Plaetorius;;;11;;A senator who was slain by Sulla in 82 (Val. Max. 9.2.1** cf. Flor. 2.9.26** Oros. 5.21.8, P. Laetorius).
494;y;Senator;ca 134?;-134;1;-134;1;-;Papirius;;Quir;7;;"Senator ca. 134? (Joseph. AJ 14.145** see 134, note 2). See also RE s. v. ""Valerius,"" no. 60."
494;;Senator;78;-78;;-78;;Q;Petillius;T. f.;Serg;6;;Senator in 78 (S. C. de Asclepiade, CIL 1(2).2.588** cf. Cic. Mil. 26 and 44).
494;;Senator;129;-129;;-129;;L;Plaetorius;L. f.;Pap;6;;Senator in 129 (S. C. de Agro Pergameno, emending Plattorius to Plaetorius).
495;;Senator;before 56;-57;1;-57;;L;Procilius;;;1;;Senator before 56 (Cic. QF 2.8.1). Probably the Tribune of the Plebs in 56.
495;;Senator;129;-129;;-129;;Q;Popillius;P. f.;Rom;30;;Senator in 129 (S. C. de Agro Pergameno).
495;;Senator;ca 165;-165;1;-165;1;P;Porcius;P. f.;;cf. 4 and 19;Laeca?;Senator ca. 165 (SIG3 664-1. de Delos 4.1.1510). Probably a son of P. Porcius Laeca, Pr. 195 (D.-G. 4.99, no. 7).
495;y;Senator;;;;;;-;Publilius;;;1;;Senator of uncertain date (Val. Max. 8.7.5).
495;;Senator;129;-129;;-129;;M;Pupius;M. f.;Scapt;7;;Senator in 129 (S. C. de Agro Pergameno).
